0.8824, -1.7602, -2.8601, 0.1729, -2.0329, 
1.1759, -2.0578, -2.9675, 0.0201, -2.1596, 
1.2319, -2.0979, -2.9829, 0.0142, -2.1765, 
1.2383, -2.1013, -2.9839, 0.0133, -2.1778, 
1.2388, -2.1017, -2.9840, 0.0133, -2.1779, 
1.2389, -2.1017, -2.9841, 0.0133, -2.1779, 
1.2389, -2.1017, -2.9841, 0.0133, -2.1779, 
0.8824, -1.7602, -2.8601, 0.1729, -2.0329, 
1.1759, -2.0578, -2.9675, 0.0201, -2.1596, 
1.2319, -2.0979, -2.9829, 0.0142, -2.1765, 
1.2383, -2.1013, -2.9839, 0.0133, -2.1778, 
1.2388, -2.1017, -2.9840, 0.0133, -2.1779, 
1.2389, -2.1017, -2.9841, 0.0133, -2.1779, 
1.2389, -2.1017, -2.9841, 0.0133, -2.1779, 
0.8696, -1.7731, -2.9327, 0.1326, -0.1991, 
1.2579, -1.8213, -2.8927, 0.1600, -0.1890, 
1.2617, -1.8167, -2.8898, 0.1616, -0.1860, 
1.2610, -1.8161, -2.8896, 0.1618, -0.1858, 
1.2609, -1.8161, -2.8895, 0.1618, -0.1857, 
1.2609, -1.8161, -2.8895, 0.1618, -0.1857, 
0.8824, -1.7602, -2.8601, 0.1729, -2.0329, 
1.1759, -2.0578, -2.9675, 0.0201, -2.1596, 
1.2319, -2.0979, -2.9829, 0.0142, -2.1765, 
1.2383, -2.1013, -2.9839, 0.0133, -2.1778, 
1.2388, -2.1017, -2.9840, 0.0133, -2.1779, 
1.2389, -2.1017, -2.9841, 0.0133, -2.1779, 
1.2389, -2.1017, -2.9841, 0.0133, -2.1779, 
0.8696, -1.7731, -2.9327, 0.1326, -0.1991, 
1.2579, -1.8213, -2.8927, 0.1600, -0.1890, 
1.2617, -1.8167, -2.8898, 0.1616, -0.1860, 
1.2610, -1.8161, -2.8896, 0.1618, -0.1858, 
1.2609, -1.8161, -2.8895, 0.1618, -0.1857, 
1.2609, -1.8161, -2.8895, 0.1618, -0.1857, 
0.8696, -1.7731, -2.9327, 0.1326, -0.1991, 
1.2579, -1.8213, -2.8927, 0.1600, -0.1890, 
1.2617, -1.8167, -2.8898, 0.1616, -0.1860, 
1.2610, -1.8161, -2.8896, 0.1618, -0.1858, 
1.2609, -1.8161, -2.8895, 0.1618, -0.1857, 
1.2609, -1.8161, -2.8895, 0.1618, -0.1857, 
0.8696, -1.7731, -2.9327, 0.1326, -0.1991, 
1.2579, -1.8213, -2.8927, 0.1600, -0.1890, 
1.2617, -1.8167, -2.8898, 0.1616, -0.1860, 
1.2610, -1.8161, -2.8896, 0.1618, -0.1858, 
1.2609, -1.8161, -2.8895, 0.1618, -0.1857, 
1.2609, -1.8161, -2.8895, 0.1618, -0.1857, 
0.8696, -1.7731, -2.9327, 0.1326, -0.1991, 
1.2579, -1.8213, -2.8927, 0.1600, -0.1890, 
1.2617, -1.8167, -2.8898, 0.1616, -0.1860, 
1.2610, -1.8161, -2.8896, 0.1618, -0.1858, 
1.2609, -1.8161, -2.8895, 0.1618, -0.1857, 
1.2609, -1.8161, -2.8895, 0.1618, -0.1857, 
0.8696, -1.7731, -2.9327, 0.1326, -0.1991, 
1.2579, -1.8213, -2.8927, 0.1600, -0.1890, 
1.2617, -1.8167, -2.8898, 0.1616, -0.1860, 
1.2610, -1.8161, -2.8896, 0.1618, -0.1858, 
1.2609, -1.8161, -2.8895, 0.1618, -0.1857, 
1.2609, -1.8161, -2.8895, 0.1618, -0.1857, 
0.8696, -1.7731, -2.9327, 0.1326, -0.1991, 
1.2579, -1.8213, -2.8927, 0.1600, -0.1890, 
1.2617, -1.8167, -2.8898, 0.1616, -0.1860, 
1.2610, -1.8161, -2.8896, 0.1618, -0.1858, 
1.2609, -1.8161, -2.8895, 0.1618, -0.1857, 
1.2609, -1.8161, -2.8895, 0.1618, -0.1857, 
0.8696, -1.7731, -2.9327, 0.1326, -0.1991, 
1.2579, -1.8213, -2.8927, 0.1600, -0.1890, 
1.2617, -1.8167, -2.8898, 0.1616, -0.1860, 
1.2610, -1.8161, -2.8896, 0.1618, -0.1858, 
1.2609, -1.8161, -2.8895, 0.1618, -0.1857, 
1.2609, -1.8161, -2.8895, 0.1618, -0.1857, 
0.8696, -1.7731, -2.9327, 0.1326, -0.1991, 
1.2579, -1.8213, -2.8927, 0.1600, -0.1890, 
1.2617, -1.8167, -2.8898, 0.1616, -0.1860, 
1.2610, -1.8161, -2.8896, 0.1618, -0.1858, 
1.2609, -1.8161, -2.8895, 0.1618, -0.1857, 
1.2609, -1.8161, -2.8895, 0.1618, -0.1857, 
